source,target,move_type
Penguin,Penguin,teleport
Penguin,Confuciusornithiformes,walk
Confuciusornithiformes,Rectrices,walk
Rectrices,Hummingbird,walk
Hummingbird,Penguin,teleport
Penguin,Penguin,teleport
Penguin,Colinus,walk
Colinus,Penguin,teleport
Penguin,Penguin,teleport
Penguin,Quaternary_glaciation,walk
Quaternary_glaciation,Scientific_revolution,walk
Scientific_revolution,De_humani_corporis_fabrica,walk
De_humani_corporis_fabrica,Principles_of_Geology,walk
Principles_of_Geology,Solar_System,walk
Solar_System,Template_talk:Star,walk
Template_talk:Star,User_talk:Lithopsian,walk
User_talk:Lithopsian,Cepheid_variable,walk
Cepheid_variable,Solar-like_oscillations,walk
Solar-like_oscillations,Protostar,walk
Protostar,Star_system,walk
Star_system,Carbon_star,walk
Carbon_star,Nova_remnant,walk
Nova_remnant,X-ray_binary,walk
X-ray_binary,Quasi-periodic_oscillation,walk
Quasi-periodic_oscillation,White_dwarf,walk
White_dwarf,Penguin,teleport
Penguin,Anatomy,walk
Anatomy,Penguin,teleport
Penguin,Penguin,teleport
Penguin,Ad%C3%A9lie_penguin,walk
Ad%C3%A9lie_penguin,Penguin,teleport
Penguin,Oreophasinae,walk
Oreophasinae,National_Center_for_Biotechnology_Information,walk
National_Center_for_Biotechnology_Information,World_Spider_Catalog,walk
World_Spider_Catalog,Fossilworks,walk
Fossilworks,New_York_Botanical_Garden,walk
New_York_Botanical_Garden,The_Plant_List,walk
The_Plant_List,World_Flora_Online,walk
World_Flora_Online,Royal_Botanic_Garden_Edinburgh,walk
Royal_Botanic_Garden_Edinburgh,Bruntsfield_Links,walk
Bruntsfield_Links,Penguin,teleport
Penguin,Maastrichtian,walk
Maastrichtian,Formation_(geology),walk
Formation_(geology),Summerville_Formation,walk
Summerville_Formation,Penguin,teleport
Penguin,Pingu,walk
Pingu,Cartoon_Network_(Japanese_TV_channel),walk
Cartoon_Network_(Japanese_TV_channel),Tokyo,walk
Tokyo,Gothenburg,walk
Gothenburg,Stavanger_(city),walk
Stavanger_(city),Patras,walk
Patras,"Gouva,_Patras",walk
"Gouva,_Patras","Voud,_Patras",walk
"Voud,_Patras","Tasi,_Patras",walk
"Tasi,_Patras","Kalamaki,_Patras",walk
"Kalamaki,_Patras",Pyrosvesteio,walk
Pyrosvesteio,Skioessa,walk
Skioessa,"Glyfada,_Patras",walk
"Glyfada,_Patras",Chalkomata,walk
Chalkomata,"Lefka,_Patras",walk
"Lefka,_Patras","Tasi,_Patras",walk
"Tasi,_Patras",Begoulaki,walk
Begoulaki,"Ampelokipoi,_Patras",walk
"Ampelokipoi,_Patras",Rodopoulou,walk
Rodopoulou,Penguin,teleport
Penguin,Penguin,teleport
Penguin,Outland_(comic_strip),walk
Outland_(comic_strip),Bloom_County:_The_Complete_Library,walk
Bloom_County:_The_Complete_Library,Opus_(comic_strip),walk
Opus_(comic_strip),World_wide_web,walk
World_wide_web,Web_browsing_history,walk
Web_browsing_history,Potentially_unwanted_program,walk
Potentially_unwanted_program,Browser_hijacking,walk
Browser_hijacking,Ars_Technica,walk
Ars_Technica,World_Triathlon_Corporation,walk
World_Triathlon_Corporation,Wanda_Media,walk
Wanda_Media,Carmike_Cinemas,walk
Carmike_Cinemas,Penguin,teleport
Penguin,Diving_duck,walk
Diving_duck,Redhead_(duck),walk
Redhead_(duck),Type_(biology),walk
Type_(biology),Species,walk
Species,The_American_Naturalist,walk
The_American_Naturalist,Ecology,walk
Ecology,Geophysics,walk
Geophysics,Penguin,teleport
Penguin,Chatham_penguin,walk
Chatham_penguin,Penguin,teleport
Penguin,Auk,walk
Auk,Jurassic,walk
Jurassic,Cisuralian,walk
Cisuralian,Conodont,walk
Conodont,Haikouella,walk
Haikouella,Notochord,walk
Notochord,Endoderm,walk
Endoderm,Intraembryonic_coelom,walk
Intraembryonic_coelom,Cloaca_(embryology),walk
Cloaca_(embryology),University_of_Lausanne,walk
University_of_Lausanne,Roma_Tre_University,walk
Roma_Tre_University,University_of_Perugia,walk
University_of_Perugia,Tuscia_University,walk
Tuscia_University,University_of_Reggio_Calabria,walk
University_of_Reggio_Calabria,Al-Azhar_University_%E2%80%93_Gaza,walk
Al-Azhar_University_%E2%80%93_Gaza,Seconda_Universit%C3%A0_degli_Studi_di_Napoli,walk
Seconda_Universit%C3%A0_degli_Studi_di_Napoli,Al-Baath_University,walk
Al-Baath_University,Hafez_al-Assad,walk
Hafez_al-Assad,Penguin,teleport
Penguin,Eudyptula,walk
Eudyptula,New_Zealand,walk
New_Zealand,Treaty_of_Waitangi,walk
Treaty_of_Waitangi,Penguin,teleport
Penguin,Loon,walk
Loon,Cursorimorphae,walk
Cursorimorphae,Neognathae,walk
Neognathae,Aves,walk
Aves,Penguin,teleport
Penguin,United_States,walk
United_States,List_of_countries_and_dependencies_by_area,walk
List_of_countries_and_dependencies_by_area,Fiji,walk
Fiji,Gross_domestic_product,walk
