source,target
Penguin,Penguin_(disambiguation)
Penguin,Danian
Penguin,Holocene
Penguin,Megaannum
Penguin,Precambrian
Penguin,Cambrian
Penguin,Ordovician
Penguin,Silurian
Penguin,Devonian
Penguin,Carboniferous
Penguin,Permian
Penguin,Triassic
Penguin,Jurassic
Penguin,Cretaceous
Penguin,Paleogene
Penguin,Neogene
Penguin,Chinstrap_penguin
Penguin,Taxonomy_(biology)
Penguin,Animal
Penguin,Chordate
Penguin,Bird
Penguin,Austrodyptornithes
Penguin,Richard_Bowdler_Sharpe
Penguin,Charles_Lucien_Jules_Laurent_Bonaparte
Penguin,Genus
Penguin,Aptenodytes
Penguin,Eudyptes
Penguin,Eudyptula
Penguin,Megadyptes
Penguin,Pygoscelis
Penguin,Spheniscus
Penguin,Order_(biology)
Penguin,Family_(biology)
Penguin,Water_bird
Penguin,Flightless_bird
Penguin,Southern_Hemisphere
Penguin,Gal%C3%A1pagos_penguin
Penguin,Equator
Penguin,Countershading
Penguin,Plumage
Penguin,Krill
Penguin,Fish
Penguin,Squid
Penguin,Sea_life
Penguin,Temperate
Penguin,Emperor_penguin
Penguin,Little_penguin
Penguin,Prehistoric
Penguin,Subantarctic
Penguin,Mya_(unit)
Penguin,Great_auk
Triassic,Year
Penguin,Convergent_evolution
Triassic,Precambrian
Penguin,Northern_Hemisphere
Penguin,Auk
Penguin,Merriam-Webster
Penguin,White_Head_Island
Penguin,Flight_feather
Penguin,Bird_extinction
Megaannum,Analemma
Triassic,Cambrian
Holocene,Holocene_calendar
Penguin,Charadriiformes
Penguin,Spheniscidae
Penguin,Sphenisciformes
Penguin,Ad%C3%A9lie_penguin
Penguin,Magellanic_penguin
Penguin,Southern_rockhopper_penguin
Penguin,King_penguin
Penguin,Gentoo_penguin
Permian,Permian_(disambiguation)
Megaannum,Position_of_the_Sun
Megaannum,Standard_time
Megaannum,Orbital_period
Megaannum,Earth
Megaannum,Earth%27s_orbit
Megaannum,Sun
Megaannum,Axial_tilt
Megaannum,Season
Triassic,Ordovician
Triassic,Silurian
Triassic,Devonian
Triassic,Carboniferous
Triassic,Permian
Triassic,Jurassic
Triassic,Cretaceous
Triassic,Paleogene
Triassic,Neogene
Triassic,Paleozoic
Triassic,Mesozoic
Holocene,Holocene_(song)
Holocene,"Holocene_(Portland,_Oregon)"
Holocene,Year
Holocene,Precambrian
Holocene,Cambrian
Holocene,Ordovician
Holocene,Silurian
Holocene,Devonian
Holocene,Carboniferous
Holocene,Permian
Holocene,Triassic
Holocene,Jurassic
Holocene,Cretaceous
Penguin,South_Georgia_and_the_South_Sandwich_Islands
Penguin,Species
Penguin,Biodiversity
Penguin,Subfamily
Penguin,White-flippered_penguin
Penguin,Royal_penguin
Permian,Year
Permian,Precambrian
Permian,Cambrian
Permian,Ordovician
Permian,Silurian
Permian,Devonian
Permian,Carboniferous
Permian,Triassic
Permian,Jurassic
Permian,Cretaceous
Cambrian,Cambria
Megaannum,Weather
Megaannum,Daylight
Megaannum,Vegetation
Megaannum,Soil_fertility
Megaannum,Temperate
Megaannum,Subpolar_climate
Megaannum,Spring_(season)
Megaannum,Summer
Megaannum,Autumn
Megaannum,Winter
Megaannum,Tropics
Megaannum,Subtropics
Megaannum,Wet_season
Megaannum,Dry_season
Megaannum,Calendar_year
Triassic,Early_Triassic
Triassic,Middle_Triassic
Triassic,Late_Triassic
Triassic,Olenekian
Triassic,Induan
Triassic,Anisian
Triassic,Ladinian
Triassic,Carnian
Triassic,Norian
Triassic,Rhaetian
Triassic,Permian%E2%80%93Triassic_extinction_event
Triassic,Carnian_Pluvial_Event
Holocene,Paleogene
Holocene,Neogene
Holocene,Cenozoic
Holocene,Quaternary
Holocene,Pleistocene
Holocene,Greenlandian
Holocene,Northgrippian
Holocene,Meghalayan
Holocene,Geological_history_of_Earth
Holocene,International_Commission_on_Stratigraphy
Holocene,Epoch_(geology)
Holocene,Series_(stratigraphy)
Penguin,Macaroni_penguin
Penguin,Rockhopper_penguin
Penguin,Australian_little_penguin
Penguin,Humboldt_penguin
Penguin,African_penguin
Penguin,Yellow-eyed_penguin
Penguin,Waitaha_penguin
Penguin,Fiordland_penguin
Penguin,Snares_penguin
Danian,"Danian,_Iran_(disambiguation)"
Ordovician,Year
Carboniferous,Carboniferous_(album)
Silurian,Silurian_(Doctor_Who)
Penguin_(disambiguation),Penguin
Precambrian,The_Ocean_Collective
Devonian,Devon
Permian,Paleogene
Permian,Neogene
Permian,Template_talk:Permian_graphical_timeline
Permian,Paleozoic
Permian,Mesozoic
Permian,Cisuralian
Permian,Guadalupian
Permian,Lopingian
Permian,Asselian
Cambrian,Cumbria
Cambrian,Cambrian_(disambiguation)
Cambrian,Year
Megaannum,Calendar
Megaannum,Gregorian_calendar
Megaannum,Common_year
Megaannum,Leap_year
Triassic,Scleractinia
Triassic,Triassic%E2%80%93Jurassic_extinction_event
Holocene,Younger_Dryas
Holocene,Stadial
Penguin,Erect-crested_penguin
Penguin,Eastern_rockhopper_penguin
Penguin,Northern_rockhopper_penguin
Penguin,Chatham_penguin
Danian,Year
Danian,Precambrian
Danian,Cambrian
Danian,Ordovician
Danian,Silurian
Danian,Devonian
Danian,Carboniferous
Danian,Permian
Ordovician,Precambrian
Ordovician,Cambrian
Ordovician,Silurian
Ordovician,Devonian
Ordovician,Carboniferous
Ordovician,Permian
Carboniferous,Year
Carboniferous,Precambrian
Carboniferous,Cambrian
Carboniferous,Ordovician
Carboniferous,Silurian
Silurian,Silurian_(disambiguation)
Penguin_(disambiguation),Penguin_(solitaire)
Precambrian,Precambrian_(album)
Devonian,Devonian_(disambiguation)
Permian,Sakmarian
Permian,Artinskian
Permian,Kungurian
Permian,Roadian
Permian,Wordian
Cambrian,Precambrian
Cambrian,Ordovician
Cambrian,Silurian
Cambrian,Devonian
Cambrian,Carboniferous
Megaannum,Julian_calendar
Megaannum,ISO
Megaannum,ISO_80000-3
Triassic,International_Commission_on_Stratigraphy
Triassic,Geological_history_of_Earth
Triassic,Geological_period
Penguin,Waimanu
Penguin,Kumimanu
Penguin,Delphinornis
Penguin,Perudyptes
Penguin,Anthropornis
Chordate,Cordate_(disambiguation)
Taxonomy_(biology),Taxonomy_(disambiguation)
Family_(biology),Gene_family
